tensor(2.7128, grad_fn=<NllLoss2DBackward>)
tensor(3.2337, grad_fn=<NllLoss2DBackward>)
tensor(2.9519, grad_fn=<NllLoss2DBackward>)
tensor(3.6431, grad_fn=<NllLoss2DBackward>)
tensor(3.1270, grad_fn=<NllLoss2DBackward>)
tensor(3.0315, grad_fn=<NllLoss2DBackward>)
tensor(3.2455, grad_fn=<NllLoss2DBackward>)
tensor(3.1745, grad_fn=<NllLoss2DBackward>)
tensor(3.1138, grad_fn=<NllLoss2DBackward>)
tensor(3.0395, grad_fn=<NllLoss2DBackward>)
tensor(3.2112, grad_fn=<NllLoss2DBackward>)
tensor(2.9572, grad_fn=<NllLoss2DBackward>)
tensor(3.3115, grad_fn=<NllLoss2DBackward>)
tensor(3.2282, grad_fn=<NllLoss2DBackward>)
tensor(2.9642, grad_fn=<NllLoss2DBackward>)
tensor(2.6049, grad_fn=<NllLoss2DBackward>)
tensor(3.2437, grad_fn=<NllLoss2DBackward>)
tensor(3.0740, grad_fn=<NllLoss2DBackward>)
tensor(3.0231, grad_fn=<NllLoss2DBackward>)
tensor(3.2497, grad_fn=<NllLoss2DBackward>)
tensor(2.8034, grad_fn=<NllLoss2DBackward>)
tensor(2.9108, grad_fn=<NllLoss2DBackward>)
tensor(2.8122, grad_fn=<NllLoss2DBackward>)
tensor(2.8510, grad_fn=<NllLoss2DBackward>)
tensor(3.1880, grad_fn=<NllLoss2DBackward>)
tensor(2.5255, grad_fn=<NllLoss2DBackward>)
tensor(3.3546, grad_fn=<NllLoss2DBackward>)
tensor(2.6636, grad_fn=<NllLoss2DBackward>)
tensor(2.4841, grad_fn=<NllLoss2DBackward>)
tensor(2.3011, grad_fn=<NllLoss2DBackward>)
tensor(2.6856, grad_fn=<NllLoss2DBackward>)
tensor(3.0305, grad_fn=<NllLoss2DBackward>)
tensor(3.2339, grad_fn=<NllLoss2DBackward>)
tensor(2.7150, grad_fn=<NllLoss2DBackward>)
tensor(3.0542, grad_fn=<NllLoss2DBackward>)
tensor(3.5061, grad_fn=<NllLoss2DBackward>)
tensor(3.1584, grad_fn=<NllLoss2DBackward>)
tensor(2.6749, grad_fn=<NllLoss2DBackward>)
tensor(3.0308, grad_fn=<NllLoss2DBackward>)
tensor(3.1756, grad_fn=<NllLoss2DBackward>)
tensor(4.1797, grad_fn=<NllLoss2DBackward>)
tensor(2.9288, grad_fn=<NllLoss2DBackward>)
tensor(2.8140, grad_fn=<NllLoss2DBackward>)
tensor(3.1876, grad_fn=<NllLoss2DBackward>)
tensor(2.6065, grad_fn=<NllLoss2DBackward>)
tensor(3.4779, grad_fn=<NllLoss2DBackward>)
tensor(3.2152, grad_fn=<NllLoss2DBackward>)
tensor(3.3675, grad_fn=<NllLoss2DBackward>)
tensor(3.1894, grad_fn=<NllLoss2DBackward>)
tensor(2.5831, grad_fn=<NllLoss2DBackward>)
tensor(3.3109, grad_fn=<NllLoss2DBackward>)
tensor(2.9396, grad_fn=<NllLoss2DBackward>)
tensor(2.3091, grad_fn=<NllLoss2DBackward>)
tensor(3.4457, grad_fn=<NllLoss2DBackward>)
tensor(2.8849, grad_fn=<NllLoss2DBackward>)
tensor(2.9013, grad_fn=<NllLoss2DBackward>)
tensor(2.9865, grad_fn=<NllLoss2DBackward>)
tensor(3.1158, grad_fn=<NllLoss2DBackward>)
