tensor(0.0380, grad_fn=<MeanBackward0>)
tensor(0.0419, grad_fn=<MeanBackward0>)
tensor(0.0197, grad_fn=<MeanBackward0>)
tensor(0.0249, grad_fn=<MeanBackward0>)
tensor(0.0299, grad_fn=<MeanBackward0>)
tensor(0.0351, grad_fn=<MeanBackward0>)
tensor(0.0386, grad_fn=<MeanBackward0>)
tensor(0.0409, grad_fn=<MeanBackward0>)
tensor(0.0307, grad_fn=<MeanBackward0>)
tensor(0.0355, grad_fn=<MeanBackward0>)
tensor(0.0312, grad_fn=<MeanBackward0>)
tensor(0.0272, grad_fn=<MeanBackward0>)
tensor(0.0218, grad_fn=<MeanBackward0>)
tensor(0.0254, grad_fn=<MeanBackward0>)
tensor(0.0319, grad_fn=<MeanBackward0>)
tensor(0.0336, grad_fn=<MeanBackward0>)
tensor(0.0380, grad_fn=<MeanBackward0>)
tensor(0.0223, grad_fn=<MeanBackward0>)
tensor(0.0172, grad_fn=<MeanBackward0>)
tensor(0.0308, grad_fn=<MeanBackward0>)
tensor(0.0277, grad_fn=<MeanBackward0>)
tensor(0.0467, grad_fn=<MeanBackward0>)
tensor(0.0253, grad_fn=<MeanBackward0>)
tensor(0.0526, grad_fn=<MeanBackward0>)
tensor(0.0287, grad_fn=<MeanBackward0>)
tensor(0.0261, grad_fn=<MeanBackward0>)
tensor(0.0322, grad_fn=<MeanBackward0>)
tensor(0.0388, grad_fn=<MeanBackward0>)
tensor(0.0454, grad_fn=<MeanBackward0>)
tensor(0.0302, grad_fn=<MeanBackward0>)
tensor(0.0274, grad_fn=<MeanBackward0>)
tensor(0.0219, grad_fn=<MeanBackward0>)
tensor(0.0414, grad_fn=<MeanBackward0>)
tensor(0.0282, grad_fn=<MeanBackward0>)
tensor(0.0379, grad_fn=<MeanBackward0>)
tensor(0.0294, grad_fn=<MeanBackward0>)
tensor(0.0352, grad_fn=<MeanBackward0>)
tensor(0.0308, grad_fn=<MeanBackward0>)
tensor(0.0423, grad_fn=<MeanBackward0>)
tensor(0.0235, grad_fn=<MeanBackward0>)
tensor(0.0421, grad_fn=<MeanBackward0>)
tensor(0.0248, grad_fn=<MeanBackward0>)
tensor(0.0343, grad_fn=<MeanBackward0>)
tensor(0.0427, grad_fn=<MeanBackward0>)
tensor(0.0349, grad_fn=<MeanBackward0>)
tensor(0.0310, grad_fn=<MeanBackward0>)
tensor(0.0266, grad_fn=<MeanBackward0>)
tensor(0.0652, grad_fn=<MeanBackward0>)
tensor(0.0347, grad_fn=<MeanBackward0>)
tensor(0.0292, grad_fn=<MeanBackward0>)
tensor(0.0376, grad_fn=<MeanBackward0>)
tensor(0.0301, grad_fn=<MeanBackward0>)
tensor(0.0304, grad_fn=<MeanBackward0>)
tensor(0.0266, grad_fn=<MeanBackward0>)
tensor(0.0291, grad_fn=<MeanBackward0>)
tensor(0.0292, grad_fn=<MeanBackward0>)
tensor(0.0216, grad_fn=<MeanBackward0>)
tensor(0.0534, grad_fn=<MeanBackward0>)
tensor(0.0426, grad_fn=<MeanBackward0>)
tensor(0.0231, grad_fn=<MeanBackward0>)
tensor(0.0187, grad_fn=<MeanBackward0>)
tensor(0.0294, grad_fn=<MeanBackward0>)
tensor(0.0230, grad_fn=<MeanBackward0>)
tensor(0.0535, grad_fn=<MeanBackward0>)
tensor(0.0271, grad_fn=<MeanBackward0>)
tensor(0.0299, grad_fn=<MeanBackward0>)
tensor(0.0302, grad_fn=<MeanBackward0>)
tensor(0.0264, grad_fn=<MeanBackward0>)
tensor(0.0315, grad_fn=<MeanBackward0>)
tensor(0.0349, grad_fn=<MeanBackward0>)
tensor(0.0299, grad_fn=<MeanBackward0>)
tensor(0.0365, grad_fn=<MeanBackward0>)
tensor(0.0273, grad_fn=<MeanBackward0>)
tensor(0.0352, grad_fn=<MeanBackward0>)
tensor(0.0334, grad_fn=<MeanBackward0>)
tensor(0.0195, grad_fn=<MeanBackward0>)
tensor(0.0328, grad_fn=<MeanBackward0>)
tensor(0.0410, grad_fn=<MeanBackward0>)
tensor(0.0219, grad_fn=<MeanBackward0>)
tensor(0.0311, grad_fn=<MeanBackward0>)
tensor(0.0284, grad_fn=<MeanBackward0>)
tensor(0.0297, grad_fn=<MeanBackward0>)
tensor(0.0303, grad_fn=<MeanBackward0>)
tensor(0.0375, grad_fn=<MeanBackward0>)
tensor(0.0372, grad_fn=<MeanBackward0>)
tensor(0.0296, grad_fn=<MeanBackward0>)
tensor(0.0270, grad_fn=<MeanBackward0>)
tensor(0.0500, grad_fn=<MeanBackward0>)
tensor(0.0279, grad_fn=<MeanBackward0>)
tensor(0.0331, grad_fn=<MeanBackward0>)
tensor(0.0376, grad_fn=<MeanBackward0>)
tensor(0.0385, grad_fn=<MeanBackward0>)
tensor(0.0570, grad_fn=<MeanBackward0>)
tensor(0.0364, grad_fn=<MeanBackward0>)
tensor(0.0244, grad_fn=<MeanBackward0>)
tensor(0.0299, grad_fn=<MeanBackward0>)
tensor(0.0312, grad_fn=<MeanBackward0>)
tensor(0.0330, grad_fn=<MeanBackward0>)
tensor(0.0280, grad_fn=<MeanBackward0>)
tensor(0.0548, grad_fn=<MeanBackward0>)
tensor(0.0441, grad_fn=<MeanBackward0>)
tensor(0.0262, grad_fn=<MeanBackward0>)
tensor(0.0333, grad_fn=<MeanBackward0>)
tensor(0.0205, grad_fn=<MeanBackward0>)
tensor(0.0366, grad_fn=<MeanBackward0>)
tensor(0.0327, grad_fn=<MeanBackward0>)
tensor(0.0348, grad_fn=<MeanBackward0>)
tensor(0.0416, grad_fn=<MeanBackward0>)
tensor(0.0323, grad_fn=<MeanBackward0>)
tensor(0.0362, grad_fn=<MeanBackward0>)
tensor(0.0552, grad_fn=<MeanBackward0>)
tensor(0.0245, grad_fn=<MeanBackward0>)
tensor(0.0311, grad_fn=<MeanBackward0>)
tensor(0.0287, grad_fn=<MeanBackward0>)
tensor(0.0343, grad_fn=<MeanBackward0>)
tensor(0.0414, grad_fn=<MeanBackward0>)
tensor(0.0259, grad_fn=<MeanBackward0>)
tensor(0.0349, grad_fn=<MeanBackward0>)
tensor(0.0326, grad_fn=<MeanBackward0>)
tensor(0.0388, grad_fn=<MeanBackward0>)
tensor(0.0338, grad_fn=<MeanBackward0>)
tensor(0.0395, grad_fn=<MeanBackward0>)
tensor(0.0279, grad_fn=<MeanBackward0>)
tensor(0.0368, grad_fn=<MeanBackward0>)
tensor(0.0286, grad_fn=<MeanBackward0>)
tensor(0.0308, grad_fn=<MeanBackward0>)
tensor(0.0251, grad_fn=<MeanBackward0>)
tensor(0.0218, grad_fn=<MeanBackward0>)
tensor(0.0307, grad_fn=<MeanBackward0>)
tensor(0.0193, grad_fn=<MeanBackward0>)
tensor(0.0331, grad_fn=<MeanBackward0>)
tensor(0.0306, grad_fn=<MeanBackward0>)
tensor(0.0241, grad_fn=<MeanBackward0>)
tensor(0.0305, grad_fn=<MeanBackward0>)
tensor(0.0456, grad_fn=<MeanBackward0>)
tensor(0.0381, grad_fn=<MeanBackward0>)
tensor(0.0177, grad_fn=<MeanBackward0>)
tensor(0.0296, grad_fn=<MeanBackward0>)
tensor(0.0315, grad_fn=<MeanBackward0>)
tensor(0.0271, grad_fn=<MeanBackward0>)
tensor(0.0531, grad_fn=<MeanBackward0>)
tensor(0.0301, grad_fn=<MeanBackward0>)
tensor(0.0378, grad_fn=<MeanBackward0>)
tensor(0.0256, grad_fn=<MeanBackward0>)
tensor(0.0249, grad_fn=<MeanBackward0>)
tensor(0.0268, grad_fn=<MeanBackward0>)
tensor(0.0427, grad_fn=<MeanBackward0>)
tensor(0.0396, grad_fn=<MeanBackward0>)
tensor(0.0331, grad_fn=<MeanBackward0>)
tensor(0.0315, grad_fn=<MeanBackward0>)
